10:22:18:637	生成开始于 10:22...
10:22:18:811	1>------ 已启动生成: 项目: Exercism.Analyzers.CSharp, 配置: Debug Any CPU ------
10:22:19:389	1>C:\Program Files\dotnet\sdk\10.0.100-preview.2.25164.34\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.RuntimeIdentifierInference.targets(326,5): message NETSDK1057: 你正在使用 .NET 的预览版。请参阅 https://aka.ms/dotnet-support-policy
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(37,32,37,42): error CS1061: “AccessorDeclarationSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AccessorDeclarationSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(42,32,42,42): error CS1061: “AccessorListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AccessorListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(47,32,47,42): error CS1061: “AliasQualifiedNameSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AliasQualifiedNameSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(52,32,52,42): error CS1061: “AllowsConstraintClauseSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AllowsConstraintClauseSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(57,32,57,42): error CS1061: “AllowsConstraintSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AllowsConstraintSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(62,32,62,42): error CS1061: “AnonymousFunctionExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AnonymousFunctionExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(67,32,67,42): error CS1061: “AnonymousMethodExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AnonymousMethodExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(72,32,72,42): error CS1061: “AnonymousObjectCreationExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AnonymousObjectCreationExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(77,32,77,42): error CS1061: “AnonymousObjectMemberDeclaratorSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AnonymousObjectMemberDeclaratorSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(82,32,82,42): error CS1061: “ArgumentListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ArgumentListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(87,32,87,42): error CS1061: “ArgumentSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ArgumentSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(92,32,92,42): error CS1061: “ArrayCreationExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ArrayCreationExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(97,32,97,42): error CS1061: “ArrayRankSpecifierSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ArrayRankSpecifierSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(102,32,102,42): error CS1061: “ArrayTypeSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ArrayTypeSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(107,32,107,42): error CS1061: “ArrowExpressionClauseSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ArrowExpressionClauseSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
